Speaker	Task	Label	TokNum	T	R	AAAmeta
BM	base	s	94	0.2978	64.3217	Tongue s 5/24/2017 6:51:32 PM 94
BM	base	s	94	0.2581	64.1933	Tongue s 5/24/2017 6:51:32 PM 94
BM	base	s	94	0.2184	63.8648	Tongue s 5/24/2017 6:51:32 PM 94
BM	base	s	94	0.1787	63.6994	Tongue s 5/24/2017 6:51:32 PM 94
BM	base	s	94	0.139	62.8302	Tongue s 5/24/2017 6:51:32 PM 94
BM	base	s	94	0.0993	62.3412	Tongue s 5/24/2017 6:51:32 PM 94
BM	base	s	94	0.0596	61.2769	Tongue s 5/24/2017 6:51:32 PM 94
BM	base	s	94	0.0199	60.9163	Tongue s 5/24/2017 6:51:32 PM 94
BM	base	s	94	-0.0199	59.8347	Tongue s 5/24/2017 6:51:32 PM 94
BM	base	s	94	-0.0596	58.9235	Tongue s 5/24/2017 6:51:32 PM 94
BM	base	s	94	-0.0993	58.0641	Tongue s 5/24/2017 6:51:32 PM 94
BM	base	s	94	-0.139	57.7826	Tongue s 5/24/2017 6:51:32 PM 94
BM	base	s	94	-0.1787	55.7996	Tongue s 5/24/2017 6:51:32 PM 94
BM	base	s	94	-0.2184	53.2685	Tongue s 5/24/2017 6:51:32 PM 94
BM	base	s	94	-0.2581	49.8581	Tongue s 5/24/2017 6:51:32 PM 94
BM	base	s	94	-0.2978	48.1888	Tongue s 5/24/2017 6:51:32 PM 94
BM	base	s	135	0.6551	69.7224	Tongue s 5/24/2017 6:55:22 PM 135
BM	base	s	135	0.6154	69.1939	Tongue s 5/24/2017 6:55:22 PM 135
BM	base	s	135	0.5757	69.5199	Tongue s 5/24/2017 6:55:22 PM 135
BM	base	s	135	0.536	69.8409	Tongue s 5/24/2017 6:55:22 PM 135
BM	base	s	135	0.4963	70.4657	Tongue s 5/24/2017 6:55:22 PM 135
BM	base	s	135	0.4566	69.8631	Tongue s 5/24/2017 6:55:22 PM 135
BM	base	s	135	0.4169	69.1593	Tongue s 5/24/2017 6:55:22 PM 135
BM	base	s	135	0.3772	68.0876	Tongue s 5/24/2017 6:55:22 PM 135
BM	base	s	135	0.3375	66.2923	Tongue s 5/24/2017 6:55:22 PM 135
BM	base	s	135	0.2978	65.6305	Tongue s 5/24/2017 6:55:22 PM 135
BM	base	s	135	0.2581	65.1095	Tongue s 5/24/2017 6:55:22 PM 135
BM	base	s	135	0.2184	64.9613	Tongue s 5/24/2017 6:55:22 PM 135
BM	base	s	135	0.1787	64.5217	Tongue s 5/24/2017 6:55:22 PM 135
BM	base	s	135	0.139	63.8253	Tongue s 5/24/2017 6:55:22 PM 135
BM	base	s	135	0.0993	62.3387	Tongue s 5/24/2017 6:55:22 PM 135
BM	base	s	135	0.0596	61.1238	Tongue s 5/24/2017 6:55:22 PM 135
BM	base	s	135	0.0199	60.0693	Tongue s 5/24/2017 6:55:22 PM 135
BM	base	s	135	-0.0199	59.5606	Tongue s 5/24/2017 6:55:22 PM 135
BM	base	s	135	-0.0596	58.3086	Tongue s 5/24/2017 6:55:22 PM 135
BM	base	s	135	-0.0993	56.3429	Tongue s 5/24/2017 6:55:22 PM 135
BM	base	s	135	-0.139	54.5279	Tongue s 5/24/2017 6:55:22 PM 135
BM	base	s	135	-0.1787	53.4018	Tongue s 5/24/2017 6:55:22 PM 135
BM	base	s	135	-0.2184	51.2954	Tongue s 5/24/2017 6:55:22 PM 135
BM	base	s	135	-0.2581	49.1025	Tongue s 5/24/2017 6:55:22 PM 135
BM	base	s	135	-0.2978	47.3245	Tongue s 5/24/2017 6:55:22 PM 135
BM	base	s	135	-0.3375	46.0577	Tongue s 5/24/2017 6:55:22 PM 135
BM	base	s	152	0.6551	70.0632	Tongue s 5/24/2017 6:56:58 PM 152
BM	base	s	152	0.6154	70.3422	Tongue s 5/24/2017 6:56:58 PM 152
BM	base	s	152	0.5757	70.0088	Tongue s 5/24/2017 6:56:58 PM 152
BM	base	s	152	0.536	70.078	Tongue s 5/24/2017 6:56:58 PM 152
BM	base	s	152	0.4963	69.1742	Tongue s 5/24/2017 6:56:58 PM 152
BM	base	s	152	0.4566	68.4901	Tongue s 5/24/2017 6:56:58 PM 152
BM	base	s	152	0.4169	66.2256	Tongue s 5/24/2017 6:56:58 PM 152
BM	base	s	152	0.3772	65.4725	Tongue s 5/24/2017 6:56:58 PM 152
BM	base	s	152	0.3375	65.0477	Tongue s 5/24/2017 6:56:58 PM 152
BM	base	s	152	0.2978	64.9884	Tongue s 5/24/2017 6:56:58 PM 152
BM	base	s	152	0.2581	65.0057	Tongue s 5/24/2017 6:56:58 PM 152
BM	base	s	152	0.2184	64.5983	Tongue s 5/24/2017 6:56:58 PM 152
BM	base	s	152	0.1787	63.9908	Tongue s 5/24/2017 6:56:58 PM 152
BM	base	s	152	0.139	63.0154	Tongue s 5/24/2017 6:56:58 PM 152
BM	base	s	152	0.0993	62.3585	Tongue s 5/24/2017 6:56:58 PM 152
BM	base	s	152	0.0596	61.5534	Tongue s 5/24/2017 6:56:58 PM 152
BM	base	s	152	0.0199	60.8916	Tongue s 5/24/2017 6:56:58 PM 152
BM	base	s	152	-0.0199	59.9755	Tongue s 5/24/2017 6:56:58 PM 152
BM	base	s	152	-0.0596	59.3285	Tongue s 5/24/2017 6:56:58 PM 152
BM	base	s	152	-0.0993	58.2172	Tongue s 5/24/2017 6:56:58 PM 152
BM	base	s	152	-0.139	57.3455	Tongue s 5/24/2017 6:56:58 PM 152
BM	base	s	152	-0.1787	55.1428	Tongue s 5/24/2017 6:56:58 PM 152
